16:46:54.365484 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:58.428201 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:46:58.608923 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:59.367769 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:46:59.928849 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:47:00.365669 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:47:01.342994 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:47:01.343423 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:47:01.426673 IP 192.168.139.144.netbios-ns > 192.168.139.2.netbios-ns: NBT UDP PACKET(137): REFRESH(8); REQUEST; UNICAST
16:47:01.545375 IP 192.168.139.142.48732 > 192.168.139.2.domain: 52543+ PTR? 144.139.168.192.in-addr.arpa. (46)
16:47:01.550107 IP 192.168.139.2.domain > 192.168.139.142.48732: 52543 NXDomain 0/1/0 (114)
16:47:01.552079 IP 192.168.139.142.45297 > 192.168.139.144.microsoft-ds: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.702699 IP 192.168.139.144.366 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.702711 IP 192.168.139.144.32779 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.702777 IP 192.168.139.144.5298 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.702790 IP 192.168.139.144.700 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.702826 IP 192.168.139.144.1053 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.702838 IP 192.168.139.144.3878 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.702877 IP 192.168.139.144.6839 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.702888 IP 192.168.139.144.3269 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.702959 IP 192.168.139.144.32769 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.702973 IP 192.168.139.144.mmcc > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.703011 IP 192.168.139.144.52822 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.703118 IP 192.168.139.144.3221 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.703131 IP 192.168.139.144.691 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.703251 IP 192.168.139.144.2040 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.703265 IP 192.168.139.144.3703 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.703441 IP 192.168.139.144.16992 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.703458 IP 192.168.139.144.5054 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.703582 IP 192.168.139.144.2022 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.703596 IP 192.168.139.144.3077 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.703800 IP 192.168.139.142.45297 > 192.168.139.144.x11: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.703881 IP 192.168.139.144.9917 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.703933 IP 192.168.139.144.lotusnote > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.703983 IP 192.168.139.144.7201 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.703995 IP 192.168.139.144.gopher > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.704066 IP 192.168.139.144.8652 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.704149 IP 192.168.139.142.45297 > 192.168.139.144.667: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704203 IP 192.168.139.142.45297 > 192.168.139.144.42510: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704217 IP 192.168.139.142.45297 > 192.168.139.144.705: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704286 IP 192.168.139.142.45297 > 192.168.139.144.49161: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704334 IP 192.168.139.142.45297 > 192.168.139.144.exec: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704347 IP 192.168.139.142.45297 > 192.168.139.144.7911: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704417 IP 192.168.139.142.45297 > 192.168.139.144.3737: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704467 IP 192.168.139.142.45297 > 192.168.139.144.3404: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704479 IP 192.168.139.142.45297 > 192.168.139.144.snpp: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704571 IP 192.168.139.142.45297 > 192.168.139.144.50000: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704584 IP 192.168.139.142.45297 > 192.168.139.144.2005: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704653 IP 192.168.139.142.45297 > 192.168.139.144.49158: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704702 IP 192.168.139.142.45297 > 192.168.139.144.2103: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704751 IP 192.168.139.142.45297 > 192.168.139.144.5962: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704763 IP 192.168.139.142.45297 > 192.168.139.144.1137: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704833 IP 192.168.139.142.45297 > 192.168.139.144.6567: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704887 IP 192.168.139.142.45297 > 192.168.139.144.15742: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704938 IP 192.168.139.142.45297 > 192.168.139.144.8402: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.704989 IP 192.168.139.142.45297 > 192.168.139.144.gsigatekeeper: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705001 IP 192.168.139.142.45297 > 192.168.139.144.55055: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705069 IP 192.168.139.142.45297 > 192.168.139.144.4567: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705119 IP 192.168.139.142.45297 > 192.168.139.144.1048: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705169 IP 192.168.139.142.45297 > 192.168.139.144.8222: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705182 IP 192.168.139.142.45297 > 192.168.139.144.6669: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705276 IP 192.168.139.142.45297 > 192.168.139.144.888: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705290 IP 192.168.139.142.45297 > 192.168.139.144.5825: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705333 IP 192.168.139.142.45297 > 192.168.139.144.5952: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705345 IP 192.168.139.142.45297 > 192.168.139.144.1443: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705387 IP 192.168.139.142.45297 > 192.168.139.144.3369: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705399 IP 192.168.139.142.45297 > 192.168.139.144.1031: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705439 IP 192.168.139.142.45297 > 192.168.139.144.omirr: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705451 IP 192.168.139.142.45297 > 192.168.139.144.webmin: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705498 IP 192.168.139.142.45297 > 192.168.139.144.8009: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705510 IP 192.168.139.142.45297 > 192.168.139.144.1272: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705549 IP 192.168.139.142.45297 > 192.168.139.144.1050: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705561 IP 192.168.139.142.45297 > 192.168.139.144.3372: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705604 IP 192.168.139.142.45297 > 192.168.139.144.8254: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705616 IP 192.168.139.142.45297 > 192.168.139.144.1028: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705652 IP 192.168.139.142.45297 > 192.168.139.144.3809: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705663 IP 192.168.139.142.45297 > 192.168.139.144.2394: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705707 IP 192.168.139.142.45297 > 192.168.139.144.63331: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705719 IP 192.168.139.142.45297 > 192.168.139.144.2500: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705758 IP 192.168.139.142.45297 > 192.168.139.144.5815: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705770 IP 192.168.139.142.45297 > 192.168.139.144.x11-3: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705809 IP 192.168.139.142.45297 > 192.168.139.144.27353: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705821 IP 192.168.139.142.45297 > 192.168.139.144.27000: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705862 IP 192.168.139.142.45297 > 192.168.139.144.6646: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705874 IP 192.168.139.142.45297 > 192.168.139.144.280: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.705947 IP 192.168.139.144.1328 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.705959 IP 192.168.139.144.3851 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706023 IP 192.168.139.144.5221 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706035 IP 192.168.139.144.4445 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706105 IP 192.168.139.144.1077 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706119 IP 192.168.139.144.44443 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706157 IP 192.168.139.144.x11 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706169 IP 192.168.139.144.667 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706233 IP 192.168.139.144.42510 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706245 IP 192.168.139.144.705 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706283 IP 192.168.139.144.49161 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706295 IP 192.168.139.144.exec > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706333 IP 192.168.139.144.7911 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706345 IP 192.168.139.144.3737 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706410 IP 192.168.139.144.3404 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706423 IP 192.168.139.144.snpp > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706465 IP 192.168.139.144.50000 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706477 IP 192.168.139.144.2005 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706540 IP 192.168.139.144.49158 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706553 IP 192.168.139.144.2103 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706590 IP 192.168.139.144.5962 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706602 IP 192.168.139.144.1137 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706640 IP 192.168.139.144.6567 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706688 IP 192.168.139.144.15742 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706701 IP 192.168.139.144.8402 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706737 IP 192.168.139.144.gsigatekeeper > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706748 IP 192.168.139.144.55055 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706787 IP 192.168.139.144.4567 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706835 IP 192.168.139.144.1048 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706848 IP 192.168.139.144.8222 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706886 IP 192.168.139.144.6669 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.706930 IP 192.168.139.142.45297 > 192.168.139.144.4550: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.706999 IP 192.168.139.144.888 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.707012 IP 192.168.139.144.5825 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.707192 IP 192.168.139.144.5952 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.707206 IP 192.168.139.144.1443 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.707353 IP 192.168.139.144.3369 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.707496 IP 192.168.139.142.45297 > 192.168.139.144.5862: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.707555 IP 192.168.139.142.45297 > 192.168.139.144.32781: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.707569 IP 192.168.139.142.45297 > 192.168.139.144.2034: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.707682 IP 192.168.139.142.45297 > 192.168.139.144.x11-4: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.707748 IP 192.168.139.142.45297 > 192.168.139.144.6156: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.707764 IP 192.168.139.142.45297 > 192.168.139.144.26: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.707836 IP 192.168.139.142.45297 > 192.168.139.144.60020: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.707852 IP 192.168.139.142.45297 > 192.168.139.144.2161: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.707931 IP 192.168.139.142.45297 > 192.168.139.144.1152: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.707945 IP 192.168.139.142.45297 > 192.168.139.144.32780: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708026 IP 192.168.139.142.45297 > 192.168.139.144.5822: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708040 IP 192.168.139.142.45297 > 192.168.139.144.1088: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708117 IP 192.168.139.142.45297 > 192.168.139.144.16016: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708131 IP 192.168.139.142.45297 > 192.168.139.144.pop2: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708212 IP 192.168.139.142.45297 > 192.168.139.144.9500: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708227 IP 192.168.139.142.45297 > 192.168.139.144.2998: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708311 IP 192.168.139.142.45297 > 192.168.139.144.spamd: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708325 IP 192.168.139.142.45297 > 192.168.139.144.9593: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708402 IP 192.168.139.142.45297 > 192.168.139.144.32770: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708417 IP 192.168.139.142.45297 > 192.168.139.144.1063: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708494 IP 192.168.139.142.45297 > 192.168.139.144.4000: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708509 IP 192.168.139.142.45297 > 192.168.139.144.7200: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708582 IP 192.168.139.142.45297 > 192.168.139.144.6789: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708597 IP 192.168.139.142.45297 > 192.168.139.144.nntp: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708674 IP 192.168.139.142.45297 > 192.168.139.144.5987: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708690 IP 192.168.139.142.45297 > 192.168.139.144.33899: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708770 IP 192.168.139.142.45297 > 192.168.139.144.1070: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708786 IP 192.168.139.142.45297 > 192.168.139.144.7402: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708863 IP 192.168.139.142.45297 > 192.168.139.144.1064: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708877 IP 192.168.139.142.45297 > 192.168.139.144.9898: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708952 IP 192.168.139.142.45297 > 192.168.139.144.1123: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.708968 IP 192.168.139.142.45297 > 192.168.139.144.1533: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709054 IP 192.168.139.142.45297 > 192.168.139.144.32782: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709068 IP 192.168.139.142.45297 > 192.168.139.144.7025: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709143 IP 192.168.139.142.45297 > 192.168.139.144.407: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709158 IP 192.168.139.142.45297 > 192.168.139.144.10002: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709232 IP 192.168.139.142.45297 > 192.168.139.144.cmip-man: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709248 IP 192.168.139.142.45297 > 192.168.139.144.1864: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709328 IP 192.168.139.142.45297 > 192.168.139.144.50001: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709343 IP 192.168.139.142.45297 > 192.168.139.144.2383: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709419 IP 192.168.139.142.45297 > 192.168.139.144.7070: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709435 IP 192.168.139.142.45297 > 192.168.139.144.4125: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709510 IP 192.168.139.142.45297 > 192.168.139.144.2190: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709526 IP 192.168.139.142.45297 > 192.168.139.144.9503: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709576 IP 192.168.139.142.45297 > 192.168.139.144.1061: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709590 IP 192.168.139.142.45297 > 192.168.139.144.16018: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709669 IP 192.168.139.142.45297 > 192.168.139.144.5550: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709683 IP 192.168.139.142.45297 > 192.168.139.144.9099: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709768 IP 192.168.139.142.45297 > 192.168.139.144.48080: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709781 IP 192.168.139.142.45297 > 192.168.139.144.57294: Flags [S], seq 1225517073, win 1024, options [mss 1460], length 0
16:47:02.709852 IP 192.168.139.144.1031 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.709860 IP 192.168.139.144.omirr > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.709897 IP 192.168.139.144.webmin > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.709951 IP 192.168.139.144.8009 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.709964 IP 192.168.139.144.1272 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710004 IP 192.168.139.144.1050 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710059 IP 192.168.139.144.3372 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710073 IP 192.168.139.144.8254 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710113 IP 192.168.139.144.1028 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710168 IP 192.168.139.144.3809 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710181 IP 192.168.139.144.2394 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710252 IP 192.168.139.144.63331 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710267 IP 192.168.139.144.2500 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710308 IP 192.168.139.144.5815 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710362 IP 192.168.139.144.x11-3 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710376 IP 192.168.139.144.27353 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710421 IP 192.168.139.144.27000 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710478 IP 192.168.139.144.6646 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710492 IP 192.168.139.144.280 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710532 IP 192.168.139.144.4550 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710588 IP 192.168.139.144.5862 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710602 IP 192.168.139.144.32781 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710675 IP 192.168.139.144.2034 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710690 IP 192.168.139.144.x11-4 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710734 IP 192.168.139.144.6156 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710747 IP 192.168.139.144.26 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710818 IP 192.168.139.144.60020 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710831 IP 192.168.139.144.2161 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710873 IP 192.168.139.144.1152 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710886 IP 192.168.139.144.32780 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710953 IP 192.168.139.144.5822 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.710970 IP 192.168.139.144.1088 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.711017 IP 192.168.139.144.16016 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.711070 IP 192.168.139.144.pop2 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.711084 IP 192.168.139.144.9500 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.711124 IP 192.168.139.144.2998 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.711181 IP 192.168.139.144.spamd > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.711194 IP 192.168.139.144.9593 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.711264 IP 192.168.139.144.32770 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.711278 IP 192.168.139.144.1063 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.711320 IP 192.168.139.144.4000 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
16:47:02.711373 IP 192.168.139.144.7200 > 192.168.139.142.45297: Flags [R.], seq 0, ack 1225517074, win 0, length 0
