16:42:33.364744 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:34.584768 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:35.367527 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:36.364221 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:37.700042 ARP, Request who-has 192.168.139.144 (Broadcast) tell 192.168.139.142, length 46
16:42:37.700468 ARP, Reply 192.168.139.144 is-at 00:0c:29:9c:ce:04 (oui Unknown), length 46
16:42:37.901792 IP 192.168.139.142.56367 > 192.168.139.2.domain: 51859+ PTR? 144.139.168.192.in-addr.arpa. (46)
16:42:37.913834 IP 192.168.139.2.domain > 192.168.139.142.56367: 51859 NXDomain 0/1/0 (114)
16:42:37.915952 IP 192.168.139.142.56447 > 192.168.139.144.imap2: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:42.706069 IP 192.168.139.144.2170 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:42.786329 IP 192.168.139.142.56447 > 192.168.139.144.666: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:42.786806 IP 192.168.139.144.666 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:42.868893 IP 192.168.139.142.56447 > 192.168.139.144.5500: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:42.869306 IP 192.168.139.144.5500 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:42.902037 ARP, Request who-has 192.168.139.2 tell 192.168.139.142, length 46
16:42:42.902855 ARP, Reply 192.168.139.2 is-at 00:50:56:f4:3d:ae (oui Unknown), length 46
16:42:42.952906 IP 192.168.139.142.56447 > 192.168.139.144.zebra: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:42.953424 IP 192.168.139.144.zebra > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:43.033614 IP 192.168.139.142.56447 > 192.168.139.144.1053: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:43.034188 IP 192.168.139.144.1053 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:43.114103 IP 192.168.139.142.56448 > 192.168.139.144.zebra: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:43.114636 IP 192.168.139.144.zebra > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:43.196621 IP 192.168.139.142.56447 > 192.168.139.144.32: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:43.197118 IP 192.168.139.144.32 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:43.278505 IP 192.168.139.142.56447 > 192.168.139.144.5988: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:43.279017 IP 192.168.139.144.5988 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:43.359013 IP 192.168.139.142.56447 > 192.168.139.144.1088: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:43.359716 IP 192.168.139.144.1088 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:43.439762 IP 192.168.139.142.56447 > 192.168.139.144.1864: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:43.439973 IP 192.168.139.144.1864 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:43.522053 IP 192.168.139.142.56447 > 192.168.139.144.38292: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:43.522560 IP 192.168.139.144.38292 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:43.594296 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:43.605962 IP 192.168.139.142.56447 > 192.168.139.144.cmip-man: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:43.606418 IP 192.168.139.144.cmip-man > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:43.686938 IP 192.168.139.142.56448 > 192.168.139.144.38292: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:43.687484 IP 192.168.139.144.38292 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:43.769020 IP 192.168.139.142.56447 > 192.168.139.144.2702: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:43.769547 IP 192.168.139.144.2702 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:43.849738 IP 192.168.139.142.56447 > 192.168.139.144.4: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:43.850248 IP 192.168.139.144.4 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:43.930261 IP 192.168.139.142.56447 > 192.168.139.144.55056: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:43.930806 IP 192.168.139.144.55056 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:44.010710 IP 192.168.139.142.56447 > 192.168.139.144.55600: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:44.011219 IP 192.168.139.144.55600 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:44.094994 IP 192.168.139.142.56448 > 192.168.139.144.55056: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:44.095512 IP 192.168.139.144.55056 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:44.177101 IP 192.168.139.142.56447 > 192.168.139.144.sane-port: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:44.177605 IP 192.168.139.144.sane-port > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:44.257491 IP 192.168.139.142.56447 > 192.168.139.144.24444: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:44.258007 IP 192.168.139.144.24444 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:44.338216 IP 192.168.139.142.56447 > 192.168.139.144.4449: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:44.338719 IP 192.168.139.144.4449 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:44.365272 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:44.419185 IP 192.168.139.142.56447 > 192.168.139.144.49159: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:44.419748 IP 192.168.139.144.49159 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:44.499644 IP 192.168.139.142.56448 > 192.168.139.144.4449: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:44.500176 IP 192.168.139.144.4449 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:44.581869 IP 192.168.139.142.56447 > 192.168.139.144.2126: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:44.582438 IP 192.168.139.144.2126 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:44.662627 IP 192.168.139.142.56447 > 192.168.139.144.6009: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:44.663158 IP 192.168.139.144.6009 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:44.743391 IP 192.168.139.142.56447 > 192.168.139.144.8099: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:44.743871 IP 192.168.139.144.8099 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:44.823685 IP 192.168.139.142.56447 > 192.168.139.144.3052: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:44.824202 IP 192.168.139.144.3052 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:44.904055 IP 192.168.139.142.56448 > 192.168.139.144.8099: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:44.904601 IP 192.168.139.144.8099 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:44.985329 IP 192.168.139.142.56447 > 192.168.139.144.ftp-data: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:44.985837 IP 192.168.139.144.ftp-data > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:45.068191 IP 192.168.139.142.56447 > 192.168.139.144.1137: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:45.068634 IP 192.168.139.144.1137 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:45.152744 IP 192.168.139.142.56447 > 192.168.139.144.2043: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:45.153275 IP 192.168.139.144.2043 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:45.235419 IP 192.168.139.142.56447 > 192.168.139.144.1443: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:45.235950 IP 192.168.139.144.1443 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:45.319472 IP 192.168.139.142.56447 > 192.168.139.144.5959: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:45.320004 IP 192.168.139.144.5959 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:45.366008 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:45.400409 IP 192.168.139.142.56447 > 192.168.139.144.49163: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:45.400905 IP 192.168.139.144.49163 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:45.482438 IP 192.168.139.142.56448 > 192.168.139.144.5959: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:45.482991 IP 192.168.139.144.5959 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:45.562779 IP 192.168.139.142.56447 > 192.168.139.144.1782: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:45.563239 IP 192.168.139.144.1782 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:45.643585 IP 192.168.139.142.56447 > 192.168.139.144.1082: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:45.643999 IP 192.168.139.144.1082 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:45.727769 IP 192.168.139.142.56447 > 192.168.139.144.366: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:45.730037 IP 192.168.139.144.366 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:45.808331 IP 192.168.139.142.56447 > 192.168.139.144.10003: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:45.808855 IP 192.168.139.144.10003 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:45.889520 IP 192.168.139.142.56448 > 192.168.139.144.366: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:45.890036 IP 192.168.139.144.366 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:45.970741 IP 192.168.139.142.56447 > 192.168.139.144.1039: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:45.971257 IP 192.168.139.144.1039 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:46.051663 IP 192.168.139.142.56447 > 192.168.139.144.481: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:46.052177 IP 192.168.139.144.481 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:46.132348 IP 192.168.139.142.56447 > 192.168.139.144.1151: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:46.132799 IP 192.168.139.144.1151 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:46.213049 IP 192.168.139.142.56447 > 192.168.139.144.2035: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:46.213575 IP 192.168.139.144.2035 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:46.294401 IP 192.168.139.142.56448 > 192.168.139.144.1151: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:46.294877 IP 192.168.139.144.1151 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:46.375666 IP 192.168.139.142.56447 > 192.168.139.144.6881: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:46.376312 IP 192.168.139.144.6881 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:46.459759 IP 192.168.139.142.56447 > 192.168.139.144.1658: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:46.460272 IP 192.168.139.144.1658 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:46.540080 IP 192.168.139.142.56447 > 192.168.139.144.amandaidx: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:46.540594 IP 192.168.139.144.amandaidx > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:46.621449 IP 192.168.139.142.56447 > 192.168.139.144.8089: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:46.621963 IP 192.168.139.144.8089 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:46.705261 IP 192.168.139.142.56448 > 192.168.139.144.amandaidx: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:46.705783 IP 192.168.139.144.amandaidx > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:46.787143 IP 192.168.139.142.56447 > 192.168.139.144.1687: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:46.787737 IP 192.168.139.144.1687 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:46.868021 IP 192.168.139.142.56447 > 192.168.139.144.8194: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:46.868484 IP 192.168.139.144.8194 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:46.949238 IP 192.168.139.142.56447 > 192.168.139.144.56737: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:46.949743 IP 192.168.139.144.56737 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:47.029452 IP 192.168.139.142.56447 > 192.168.139.144.49175: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:47.029675 IP 192.168.139.144.49175 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:47.113766 IP 192.168.139.142.56448 > 192.168.139.144.56737: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:47.114330 IP 192.168.139.144.56737 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:47.194547 IP 192.168.139.142.56447 > 192.168.139.144.4000: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:47.195052 IP 192.168.139.144.4000 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:47.276992 IP 192.168.139.142.56447 > 192.168.139.144.32770: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:47.277514 IP 192.168.139.144.32770 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:47.360977 IP 192.168.139.142.56447 > 192.168.139.144.6789: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:47.361501 IP 192.168.139.144.6789 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:47.444951 IP 192.168.139.142.56447 > 192.168.139.144.50300: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:47.445468 IP 192.168.139.144.50300 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:47.526024 IP 192.168.139.142.56447 > 192.168.139.144.1755: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:47.526531 IP 192.168.139.144.1755 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:47.606489 IP 192.168.139.142.56447 > 192.168.139.144.3323: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:47.606958 IP 192.168.139.144.3323 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:47.687907 IP 192.168.139.142.56448 > 192.168.139.144.1755: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:47.688829 IP 192.168.139.144.1755 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:47.769376 IP 192.168.139.142.56447 > 192.168.139.144.912: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:47.769882 IP 192.168.139.144.912 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:47.849848 IP 192.168.139.142.56447 > 192.168.139.144.1322: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:47.850358 IP 192.168.139.144.1322 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:47.930525 IP 192.168.139.142.56447 > 192.168.139.144.5221: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:47.931036 IP 192.168.139.144.5221 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:48.011477 IP 192.168.139.142.56447 > 192.168.139.144.1084: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:48.011976 IP 192.168.139.144.1084 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:48.073458 IP 192.168.139.142.51696 > 192.168.139.2.domain: 6688+ AAAA? debian.localdomain. (36)
16:42:48.092761 IP 192.168.139.142.56448 > 192.168.139.144.5221: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:48.093299 IP 192.168.139.144.5221 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:48.102550 IP 192.168.139.2.domain > 192.168.139.142.51696: 6688 NXDomain 0/1/0 (111)
16:42:48.103800 IP 192.168.139.142.39489 > 192.168.139.2.domain: 41891+ AAAA? debian. (24)
16:42:48.127298 IP 192.168.139.2.domain > 192.168.139.142.39489: 41891 NXDomain 0/1/0 (99)
16:42:48.173546 IP 192.168.139.142.56447 > 192.168.139.144.3404: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:48.174082 IP 192.168.139.144.3404 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:48.254110 IP 192.168.139.142.56447 > 192.168.139.144.2869: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:48.254668 IP 192.168.139.144.2869 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:48.334564 IP 192.168.139.142.56447 > 192.168.139.144.57797: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:48.335054 IP 192.168.139.144.57797 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:48.415157 IP 192.168.139.142.56447 > 192.168.139.144.5910: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:48.415659 IP 192.168.139.144.5910 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:48.499270 IP 192.168.139.142.56448 > 192.168.139.144.57797: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:48.499757 IP 192.168.139.144.57797 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:48.581814 IP 192.168.139.142.56447 > 192.168.139.144.32774: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:48.582311 IP 192.168.139.144.32774 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:48.665182 IP 192.168.139.142.56447 > 192.168.139.144.2065: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:48.665703 IP 192.168.139.144.2065 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:48.746203 IP 192.168.139.142.56447 > 192.168.139.144.1038: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:48.746502 IP 192.168.139.144.1038 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:48.830473 IP 192.168.139.142.56447 > 192.168.139.144.1717: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:48.830949 IP 192.168.139.144.1717 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:48.911688 IP 192.168.139.142.56448 > 192.168.139.144.1038: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:48.912190 IP 192.168.139.144.1038 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:48.993142 IP 192.168.139.142.56447 > 192.168.139.144.gnutella-svc: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:48.993655 IP 192.168.139.144.gnutella-svc > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:49.074271 IP 192.168.139.142.56447 > 192.168.139.144.10004: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:49.074777 IP 192.168.139.144.10004 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:49.155252 IP 192.168.139.142.56447 > 192.168.139.144.212: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:49.155787 IP 192.168.139.144.212 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:49.239146 IP 192.168.139.142.56447 > 192.168.139.144.44442: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:49.239636 IP 192.168.139.144.44442 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:49.319938 IP 192.168.139.142.56447 > 192.168.139.144.1052: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:49.320466 IP 192.168.139.144.1052 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:49.400659 IP 192.168.139.142.56447 > 192.168.139.144.8290: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:49.401167 IP 192.168.139.144.8290 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:49.482650 IP 192.168.139.142.56448 > 192.168.139.144.1052: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:49.482928 IP 192.168.139.144.1052 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:49.566908 IP 192.168.139.142.56447 > 192.168.139.144.32782: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:49.567458 IP 192.168.139.144.32782 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:49.605967 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:49.649017 IP 192.168.139.142.56447 > 192.168.139.144.32769: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:49.649526 IP 192.168.139.144.32769 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:49.729833 IP 192.168.139.142.56447 > 192.168.139.144.1075: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:49.730282 IP 192.168.139.144.1075 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:49.813855 IP 192.168.139.142.56447 > 192.168.139.144.18988: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:49.814375 IP 192.168.139.144.18988 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:49.894983 IP 192.168.139.142.56448 > 192.168.139.144.1075: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:49.895638 IP 192.168.139.144.1075 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:49.978015 IP 192.168.139.142.56447 > 192.168.139.144.4550: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:49.978455 IP 192.168.139.144.4550 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:50.061676 IP 192.168.139.142.56447 > 192.168.139.144.1175: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:50.062125 IP 192.168.139.144.1175 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:50.145506 IP 192.168.139.142.56447 > 192.168.139.144.4002: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:50.146039 IP 192.168.139.144.4002 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:50.225934 IP 192.168.139.142.56447 > 192.168.139.144.524: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:50.226431 IP 192.168.139.144.524 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:50.306881 IP 192.168.139.142.56448 > 192.168.139.144.4002: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:50.307324 IP 192.168.139.144.4002 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
16:42:50.365053 ARP, Request who-has 192.168.139.2 tell 192.168.139.1, length 46
16:42:50.388561 IP 192.168.139.142.56447 > 192.168.139.144.2001: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:50.389052 IP 192.168.139.144.2001 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:50.472674 IP 192.168.139.142.56447 > 192.168.139.144.2909: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:50.473251 IP 192.168.139.144.2909 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:50.556235 IP 192.168.139.142.56447 > 192.168.139.144.1000: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:50.556734 IP 192.168.139.144.1000 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:50.638891 IP 192.168.139.142.56447 > 192.168.139.144.9010: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:50.639427 IP 192.168.139.144.9010 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:50.719598 IP 192.168.139.142.56447 > 192.168.139.144.2042: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:50.720088 IP 192.168.139.144.2042 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:50.803956 IP 192.168.139.142.56447 > 192.168.139.144.11967: Flags [S], seq 552129161, win 1024, options [mss 1460], length 0
16:42:50.804475 IP 192.168.139.144.11967 > 192.168.139.142.56447: Flags [R.], seq 0, ack 552129162, win 0, length 0
16:42:50.885801 IP 192.168.139.142.56448 > 192.168.139.144.2042: Flags [S], seq 552194696, win 1024, options [mss 1460], length 0
16:42:50.886310 IP 192.168.139.144.2042 > 192.168.139.142.56448: Flags [R.], seq 0, ack 552194697, win 0, length 0
