17:11:35.898180 ARP, Request who-has 192.168.5.130 (Broadcast) tell 192.168.5.129, length 46
17:11:35.898660 ARP, Reply 192.168.5.130 is-at 00:0c:29:36:59:9f (oui Unknown), length 46
17:11:36.100578 IP 192.168.5.129.43804 > 192.168.5.2.domain: 56286+ PTR? 130.5.168.192.in-addr.arpa. (44)
17:11:36.103965 IP 192.168.5.2.domain > 192.168.5.129.43804: 56286 NXDomain 0/0/0 (44)
17:11:36.105885 IP 192.168.5.129.58717 > 192.168.5.130.1723: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:38.359129 IP 192.168.5.129.58717 > 192.168.5.130.222: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:38.359814 IP 192.168.5.130.222 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:38.413881 IP 192.168.5.129.58718 > 192.168.5.130.12174: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:38.414547 IP 192.168.5.130.12174 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:38.437248 IP 192.168.5.129.58718 > 192.168.5.130.7496: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:38.437958 IP 192.168.5.130.7496 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:38.459926 IP 192.168.5.129.58718 > 192.168.5.130.222: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:38.460278 IP 192.168.5.130.222 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:38.515269 IP 192.168.5.129.58717 > 192.168.5.130.isisd: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:38.515822 IP 192.168.5.130.isisd > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:38.538726 IP 192.168.5.129.58717 > 192.168.5.130.2065: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:38.539395 IP 192.168.5.130.2065 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:38.562242 IP 192.168.5.129.58717 > 192.168.5.130.2800: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:38.562897 IP 192.168.5.130.2800 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:38.616960 IP 192.168.5.129.58718 > 192.168.5.130.isisd: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:38.617635 IP 192.168.5.130.isisd > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:38.640156 IP 192.168.5.129.58718 > 192.168.5.130.2065: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:38.640849 IP 192.168.5.130.2065 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:38.663618 IP 192.168.5.129.58718 > 192.168.5.130.2800: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:38.664312 IP 192.168.5.130.2800 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:38.718449 IP 192.168.5.129.58717 > 192.168.5.130.3801: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:38.719106 IP 192.168.5.130.3801 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:38.741787 IP 192.168.5.129.58717 > 192.168.5.130.1119: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:38.742486 IP 192.168.5.130.1119 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:38.764810 IP 192.168.5.129.58717 > 192.168.5.130.4550: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:38.765496 IP 192.168.5.130.4550 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:38.819665 IP 192.168.5.129.58718 > 192.168.5.130.3801: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:38.820394 IP 192.168.5.130.3801 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:38.843185 IP 192.168.5.129.58718 > 192.168.5.130.1119: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:38.843922 IP 192.168.5.130.1119 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:38.866483 IP 192.168.5.129.58718 > 192.168.5.130.4550: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:38.866776 IP 192.168.5.130.4550 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:38.921172 IP 192.168.5.129.58717 > 192.168.5.130.7800: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:38.921848 IP 192.168.5.130.7800 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:38.964261 IP 192.168.5.129.58717 > 192.168.5.130.7627: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:38.964965 IP 192.168.5.130.7627 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:39.007292 IP 192.168.5.129.58717 > 192.168.5.130.9503: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:39.008088 IP 192.168.5.130.9503 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:39.049951 IP 192.168.5.129.58718 > 192.168.5.130.7800: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:39.050240 IP 192.168.5.130.7800 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:39.093024 IP 192.168.5.129.58718 > 192.168.5.130.7627: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:39.093618 IP 192.168.5.130.7627 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:39.136191 IP 192.168.5.129.58717 > 192.168.5.130.9595: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:39.136870 IP 192.168.5.130.9595 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:39.179613 IP 192.168.5.129.58717 > 192.168.5.130.687: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:39.180289 IP 192.168.5.130.687 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:39.222982 IP 192.168.5.129.58717 > 192.168.5.130.1107: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:39.223608 IP 192.168.5.130.1107 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:39.265544 IP 192.168.5.129.58718 > 192.168.5.130.9595: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:39.266279 IP 192.168.5.130.9595 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:39.308387 IP 192.168.5.129.58718 > 192.168.5.130.687: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:39.309074 IP 192.168.5.130.687 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:39.351620 IP 192.168.5.129.58717 > 192.168.5.130.6: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:39.352359 IP 192.168.5.130.6 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:39.394530 IP 192.168.5.129.58717 > 192.168.5.130.4002: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:39.395208 IP 192.168.5.130.4002 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:39.437091 IP 192.168.5.129.58717 > 192.168.5.130.1043: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:39.437795 IP 192.168.5.130.1043 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:39.480168 IP 192.168.5.129.58718 > 192.168.5.130.6: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:39.480566 IP 192.168.5.130.6 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:39.523111 IP 192.168.5.129.58717 > 192.168.5.130.24444: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:39.523571 IP 192.168.5.130.24444 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:39.566098 IP 192.168.5.129.58717 > 192.168.5.130.6106: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:39.566473 IP 192.168.5.130.6106 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:39.624031 IP 192.168.5.129.58718 > 192.168.5.130.24444: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:39.624711 IP 192.168.5.130.24444 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:39.667364 IP 192.168.5.129.58718 > 192.168.5.130.6106: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:39.668054 IP 192.168.5.130.6106 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:39.724953 IP 192.168.5.129.58717 > 192.168.5.130.tacacs: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:39.725742 IP 192.168.5.130.tacacs > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:39.766087 IP 192.168.5.129.58717 > 192.168.5.130.1130: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:39.766799 IP 192.168.5.130.1130 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:39.806605 IP 192.168.5.129.58717 > 192.168.5.130.6389: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:39.807280 IP 192.168.5.130.6389 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:39.846835 IP 192.168.5.129.58718 > 192.168.5.130.tacacs: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:39.847546 IP 192.168.5.130.tacacs > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:39.887913 IP 192.168.5.129.58718 > 192.168.5.130.1130: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:39.888565 IP 192.168.5.130.1130 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:39.928264 IP 192.168.5.129.58717 > 192.168.5.130.kpasswd: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:39.929096 IP 192.168.5.130.kpasswd > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:39.968795 IP 192.168.5.129.58717 > 192.168.5.130.1935: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:39.969587 IP 192.168.5.130.1935 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:40.009626 IP 192.168.5.129.58717 > 192.168.5.130.1044: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:40.010380 IP 192.168.5.130.1044 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:40.049936 IP 192.168.5.129.58718 > 192.168.5.130.kpasswd: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:40.050677 IP 192.168.5.130.kpasswd > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:40.090044 IP 192.168.5.129.58718 > 192.168.5.130.1935: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:40.090755 IP 192.168.5.130.1935 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:40.170853 IP 192.168.5.129.58717 > 192.168.5.130.2383: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:40.171564 IP 192.168.5.130.2383 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:40.251368 IP 192.168.5.129.58717 > 192.168.5.130.1030: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:40.252115 IP 192.168.5.130.1030 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:40.332116 IP 192.168.5.129.58717 > 192.168.5.130.5221: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:40.332937 IP 192.168.5.130.5221 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:40.412916 IP 192.168.5.129.58717 > 192.168.5.130.sip-tls: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:40.413457 IP 192.168.5.130.sip-tls > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:40.493357 IP 192.168.5.129.58718 > 192.168.5.130.5221: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:40.493798 IP 192.168.5.130.5221 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:40.574530 IP 192.168.5.129.58717 > 192.168.5.130.1051: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:40.574846 IP 192.168.5.130.1051 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:40.655549 IP 192.168.5.129.58717 > 192.168.5.130.spamd: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:40.655890 IP 192.168.5.130.spamd > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:40.737747 IP 192.168.5.129.58717 > 192.168.5.130.search: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:40.738305 IP 192.168.5.130.search > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:40.821624 IP 192.168.5.129.58717 > 192.168.5.130.8009: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:40.821947 IP 192.168.5.130.8009 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:40.903480 IP 192.168.5.129.58718 > 192.168.5.130.search: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:40.904104 IP 192.168.5.130.search > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:40.985952 IP 192.168.5.129.58717 > 192.168.5.130.1998: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:40.986649 IP 192.168.5.130.1998 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:41.067945 IP 192.168.5.129.58717 > 192.168.5.130.mmcc: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:41.068722 IP 192.168.5.130.mmcc > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:41.110770 ARP, Request who-has 192.168.5.2 tell 192.168.5.129, length 46
17:11:41.111363 ARP, Reply 192.168.5.2 is-at 00:50:56:ff:2b:f4 (oui Unknown), length 46
17:11:41.149902 IP 192.168.5.129.58717 > 192.168.5.130.9877: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:41.150589 IP 192.168.5.130.9877 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:41.231722 IP 192.168.5.129.58717 > 192.168.5.130.3871: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:41.232401 IP 192.168.5.130.3871 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:41.313628 IP 192.168.5.129.58717 > 192.168.5.130.6100: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:41.314484 IP 192.168.5.130.6100 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:41.395387 IP 192.168.5.129.58717 > 192.168.5.130.6059: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:41.396320 IP 192.168.5.130.6059 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:41.477069 IP 192.168.5.129.58718 > 192.168.5.130.6100: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:41.477279 IP 192.168.5.130.6100 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:41.558949 IP 192.168.5.129.58717 > 192.168.5.130.49159: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:41.559186 IP 192.168.5.130.49159 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:41.641006 IP 192.168.5.129.58717 > 192.168.5.130.5555: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:41.641287 IP 192.168.5.130.5555 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:41.723664 IP 192.168.5.129.58717 > 192.168.5.130.6669: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:41.724346 IP 192.168.5.130.6669 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:41.806173 IP 192.168.5.129.58717 > 192.168.5.130.radmin-port: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:41.806829 IP 192.168.5.130.radmin-port > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:41.888168 IP 192.168.5.129.58718 > 192.168.5.130.6669: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:41.888910 IP 192.168.5.130.6669 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:41.969921 IP 192.168.5.129.58717 > 192.168.5.130.14441: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:41.970579 IP 192.168.5.130.14441 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:42.052995 IP 192.168.5.129.58717 > 192.168.5.130.5901: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:42.053664 IP 192.168.5.130.5901 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:42.135540 IP 192.168.5.129.58717 > 192.168.5.130.3918: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:42.136302 IP 192.168.5.130.3918 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:42.217403 IP 192.168.5.129.58717 > 192.168.5.130.14238: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:42.218091 IP 192.168.5.130.14238 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:42.299428 IP 192.168.5.129.58718 > 192.168.5.130.3918: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:42.300180 IP 192.168.5.130.3918 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:42.381524 IP 192.168.5.129.58717 > 192.168.5.130.7435: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:42.382309 IP 192.168.5.130.7435 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:42.463444 IP 192.168.5.129.58717 > 192.168.5.130.discard: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:42.464337 IP 192.168.5.130.discard > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:42.544920 IP 192.168.5.129.58717 > 192.168.5.130.3283: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:42.545156 IP 192.168.5.130.3283 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:42.627337 IP 192.168.5.129.58717 > 192.168.5.130.7019: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:42.628013 IP 192.168.5.130.7019 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:42.709255 IP 192.168.5.129.58718 > 192.168.5.130.3283: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:42.709938 IP 192.168.5.130.3283 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:42.790805 IP 192.168.5.129.58717 > 192.168.5.130.50500: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:42.791347 IP 192.168.5.130.50500 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:42.873426 IP 192.168.5.129.58717 > 192.168.5.130.11110: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:42.874087 IP 192.168.5.130.11110 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:42.957329 IP 192.168.5.129.58717 > 192.168.5.130.2045: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:42.958015 IP 192.168.5.130.2045 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:43.039396 IP 192.168.5.129.58717 > 192.168.5.130.2043: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:43.040118 IP 192.168.5.130.2043 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:43.120445 IP 192.168.5.129.58717 > 192.168.5.130.3003: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:43.120686 IP 192.168.5.130.3003 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:43.203238 IP 192.168.5.129.58717 > 192.168.5.130.1034: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:43.203869 IP 192.168.5.130.1034 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:43.285366 IP 192.168.5.129.58718 > 192.168.5.130.3003: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:43.285987 IP 192.168.5.130.3003 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:43.367381 IP 192.168.5.129.58717 > 192.168.5.130.8099: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:43.368046 IP 192.168.5.130.8099 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:43.449288 IP 192.168.5.129.58717 > 192.168.5.130.8181: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:43.449970 IP 192.168.5.130.8181 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:43.461844 IP 192.168.5.130.netbios-dgm > 192.168.5.255.netbios-dgm: NBT UDP PACKET(138)
17:11:43.531214 IP 192.168.5.129.58717 > 192.168.5.130.51103: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:43.531897 IP 192.168.5.130.51103 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:43.612970 IP 192.168.5.129.58717 > 192.168.5.130.22939: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:43.613301 IP 192.168.5.130.22939 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:43.695144 IP 192.168.5.129.58718 > 192.168.5.130.51103: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:43.695830 IP 192.168.5.130.51103 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:43.777163 IP 192.168.5.129.58717 > 192.168.5.130.aol: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:43.777853 IP 192.168.5.130.aol > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:43.860447 IP 192.168.5.129.58717 > 192.168.5.130.49155: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:43.861102 IP 192.168.5.130.49155 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:43.941885 IP 192.168.5.129.58717 > 192.168.5.130.9999: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:43.942553 IP 192.168.5.130.9999 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:44.023760 IP 192.168.5.129.58717 > 192.168.5.130.gnutella-svc: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:44.024089 IP 192.168.5.130.gnutella-svc > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:44.107879 IP 192.168.5.129.58718 > 192.168.5.130.9999: Flags [S], seq 3836721120, win 1024, options [mss 1460], length 0
17:11:44.108534 IP 192.168.5.130.9999 > 192.168.5.129.58718: Flags [R.], seq 0, ack 3836721121, win 0, length 0
17:11:44.189810 IP 192.168.5.129.58717 > 192.168.5.130.15660: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:44.190496 IP 192.168.5.130.15660 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:44.271672 IP 192.168.5.129.58717 > 192.168.5.130.16992: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:44.272367 IP 192.168.5.130.16992 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:44.353716 IP 192.168.5.129.58717 > 192.168.5.130.1801: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:44.354482 IP 192.168.5.130.1801 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:44.435653 IP 192.168.5.129.58717 > 192.168.5.130.2701: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:44.436358 IP 192.168.5.130.2701 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:44.517223 IP 192.168.5.129.58717 > 192.168.5.130.12345: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:44.517850 IP 192.168.5.130.12345 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:44.599263 IP 192.168.5.129.58717 > 192.168.5.130.3013: Flags [S], seq 3836655585, win 1024, options [mss 1460], length 0
17:11:44.600160 IP 192.168.5.130.3013 > 192.168.5.129.58717: Flags [R.], seq 0, ack 3836655586, win 0, length 0
17:11:44.661511 IP 192.168.5.1.netbios-ns > 192.168.5.255.netbios-ns: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
17:11:44.662402 IP 192.168.5.1.mdns > 224.0.0.251.mdns: 0 A (QM)? wpad.local. (28)
17:11:44.663730 IP6 fe80::c0f4:36d1:e888:64f9.mdns > ff02::fb.mdns: 0 A (QM)? wpad.local. (28)
17:11:44.664639 IP 192.168.5.1.mdns > 224.0.0.251.mdns: 0 A (QM)? wpad.local. (28)
17:11:44.665531 IP6 fe80::c0f4:36d1:e888:64f9.mdns > ff02::fb.mdns: 0 A (QM)? wpad.local. (28)
17:11:44.666294 IP 192.168.5.1.mdns > 224.0.0.251.mdns: 0 AAAA (QM)? wpad.local. (28)
17:11:44.666870 IP6 fe80::c0f4:36d1:e888:64f9.mdns > ff02::fb.mdns: 0 AAAA (QM)? wpad.local. (28)
17:11:44.667496 IP 192.168.5.1.mdns > 224.0.0.251.mdns: 0 AAAA (QM)? wpad.local. (28)
